What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Age,Gender,Irish County,Device OS
Yes,Yes,Yes,Yes,No,No,More than 2 ,Over 6 hours ,Good ,Yes,Yes,Yes,Yes,Yes,No,No,No,Neither Trust or Distrust ,Distrust Somewhat,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Distrust Somewhat,Trust Completely ,Distrust Somewhat,Distrust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Never ,In the last 18 months ,Their own retail shop,8,Distrust Somewhat ,Yes ,Hashtag ,18 22,Female,Munster,I OS
Yes,Yes,No,Yes,No,No,1 ,2-4 hours ,Entertainment ,No,,,,,,,,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few months ,In the past week ,Their website,10,Trust Somewhat ,Yes ,Tagline,18 22,Female,Leinster,Web
No,Yes,Yes,Yes,Yes,No,More than 2 ,2-4 hours ,good for awareness,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Never ,In the last month ,Their own retail shop,8,Neither Trust or Distrust ,Yes ,Tagline,18 22,Female,Dublin,I OS
Yes,Yes,Yes,Yes,Yes,No,2,1-2 hours ,Love it especially when accounts are funny or relatable ,No,,,,,,,,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few days ,In the last month ,A department store,8,Trust Completely ,Yes ,Tagline,18 22,Female,Munster,Web
Yes,Yes,Yes,Yes,No,No,1 ,Over 6 hours ,Fantastic marketing opportunity,Yes,Yes,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Completely ,Every few weeks ,In the last month ,Their Instagram page,1,Trust Somewhat ,Yes ,Tagline,18 22,Female,Connacht,Android
Yes,Yes,Yes,Yes,No,No,1 ,4-6 hours ,It helps you discover new brands that can be good. But some could be fake or very bad quality. But i think brands on social media is good because it gives them a space to express their brand ,Yes,No,Yes,No,No,No,Yes,No,Trust Completely ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Never ,In the last 6 months ,Their website,7,Distrust Somewhat ,I don't know ,Tagline,18 22,Female,Connacht,Web
Yes,Yes,No,Yes,No,No,1 ,Over 6 hours ,I think it's cool that I can see updates from the brand ,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Every few months ,In the last 18 months ,Their own retail shop,7,Neither Trust or Distrust ,No ,Tagline,18 22,Female,Munster,Android
No,No,No,No,Yes,No,1 ,Less than 1 hour ,dont care,No,,,,,,,,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the past week ,Their website,9,Distrust Somewhat ,Yes ,Neither,18 22,Female,Dublin,Android
Yes,Yes,Yes,Yes,No,No,More than 2 ,Over 6 hours ,Good advertising if done right,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Never ,In the last 6 months ,Their website,6,Neither Trust or Distrust ,Yes ,Tagline,18 22,Female,Connacht,I OS
Yes,Yes,Yes,No,Yes,No,1 ,4-6 hours ,"I don't mind them if they're a trusted and already well known brand. I won't follow their accounts (unless they're something small and interesting like artisan jewelry or artistic in that way) but I will still see their ads either being shared by friends (promotional offers) or promoted posts. In relation to small brands, I tend not to trust the ones that don't have a social media or ones that do don't have an accompanying website with details of where they are headquartered and some information about where their stock comes from.",No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Never ,In the last month ,Other,9,Distrust Completely ,Yes ,Tagline,18 22,Female,Leinster,Android
