What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Age,Gender,Irish County,Device OS
No,Yes,No,No,No,No,1 ,4-6 hours ,To many ads,No,,,,,,,,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Completely ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Every few months ,In the last 18 months ,Another of their social media accounts,6,Trust Completely ,Yes ,Tagline,36 53,Female,Leinster,Web
Yes,Yes,Yes,Yes,No,No,1 ,1-2 hours ,"Keeps me up to date on products
",Yes,No,No,No,No,No,Yes,No,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Every few months ,In the last 18 months ,Their website,5,Trust Somewhat ,Yes ,Tagline,36 53,Female,Munster,Web
Yes,No,No,No,No,No,1 ,Over 6 hours ,I don’t mind seeing brands on social media as I think it is a good platform for advertising ,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Never ,In the last month ,A department store,7,Distrust Somewhat ,Yes ,Tagline,36 53,Female,Leinster,I OS
Yes,Yes,No,No,No,No,1 ,2-4 hours ,I think it offers a good place to promote a brand to wide audience across many demographics. Brands shouldn't be pigeon holed to certain groups and social media offers a wider audience. It also allows brands develop a connection with consumers that may not be possible through other marketing strategies ,Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Every few weeks ,In the last month ,Their website,3,Trust Somewhat ,No ,Neither,36 53,Female,Leinster,Web
Yes,Yes,No,No,No,No,1 ,1-2 hours ,It's not something I expected to see. But I do follow a handful now. But I don't want my feed turning into a TV ad break either. Usually end up following brands because of a competition if I'm honest. ,Yes,Yes,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Every few months ,In the last month ,Their website,8,Trust Somewhat ,I don't know ,Neither,36 53,Female,Munster,Android
Yes,Yes,No,Yes,No,No,1 ,4-6 hours ,"I understand they should have a presence as many people resort to outing them on social media to get them to respond if a problem, I wouldn't personally follow a brand really",No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Never ,In the last month ,A department store,4,Distrust Somewhat ,Yes ,Tagline,36 53,Female,Munster,Android
Yes,Yes,Yes,No,Yes,No,1 ,1-2 hours ,"I like it, gives up to date info on their products and you can follow or unfollow as you please. Usually good competitions and offers ",No,,,,,,,,Trust Completely ,Distrust Somewhat,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Never ,In the last 6 months ,Another of their social media accounts,8,Trust Completely ,Yes ,Tagline,36 53,Female,Leinster,Web
Yes,Yes,Yes,Yes,No,No,2,1-2 hours ,I'm not interested in social media ads,Yes,Yes,No,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last month ,A department store,0,Trust Somewhat ,No ,Neither,36 53,Female,Dublin,Android
No,Yes,Yes,No,No,No,More than 2 ,1-2 hours ,"When done right, it can be great and really make you think differently in a good way about a brand. When done poorly it’s bland and boring or even annoying. ",Yes,No,No,Yes,No,No,No,No,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last month ,Their Instagram page,7,Distrust Somewhat ,Yes ,Tagline,36 53,Female,Leinster,Web
Yes,Yes,No,No,No,No,1 ,1-2 hours ,I do not agree with brands being on social media. There is too much advertising and pressure  to buy coming from all directions  these days.,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Every few months ,In the past week ,Their website,7,Trust Somewhat ,Yes ,Tagline,36 53,Female,Munster,Android
Yes,Yes,Yes,Yes,No,No,1 ,2-4 hours ,I like looking at the advertising sometimes coz they are interesting to me. But sometimes there can be too many,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 18 months ,Their website,7,Trust Somewhat ,Yes ,Tagline,36 53,Female,Leinster,Web
Yes,No,No,No,Yes,No,1 ,1-2 hours ,They help promoting them on a world wide scale. ,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Distrust Completely ,Never ,In the last 18 months ,A department store,2,Trust Somewhat ,Yes ,Neither,36 53,Female,Connacht,Web
Yes,Yes,Yes,Yes,Yes,No,1 ,2-4 hours ,I’m ok with brands on social media as it’s a way of getting there name out advertising ,Yes,Yes,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few days ,In the last month ,Their website,8,Trust Somewhat ,Yes ,Tagline,36 53,Female,Connacht,I OS
Yes,Yes,Yes,Yes,No,No,1 ,4-6 hours ,Too much advertising,Yes,Yes,Yes,Yes,No,No,Yes,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last month ,Their website,6,Neither Trust or Distrust ,Yes ,Tagline,36 53,Female,Dublin,Android
Yes,Yes,No,No,Yes,No,2,2-4 hours ,All good once they're transparent with how they do business etc...,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Never ,In the past week ,Another of their social media accounts,6,Trust Somewhat ,Yes ,Hashtag ,36 53,Female,Dublin,Android
Yes,Yes,No,Yes,No,No,1 ,2-4 hours ,Get tired of celebrities promoting brands on their page ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 6 months ,Their website,2,Trust Somewhat ,No ,Neither,36 53,Female,Dublin,Web
Yes,Yes,No,No,Yes,No,2,1-2 hours ,hjk jgjkgkkgk dgddj,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Trust Completely ,Neither Trust or Distrust ,Every few months ,In the last 6 months ,Another of their social media accounts,8,Neither Trust or Distrust ,No ,Tagline,36 53,Female,Dublin,Web
No,Yes,No,Yes,No,No,1 ,2-4 hours ,"Sometimes they ask too many social media influencers to ad for them meaning the more they say buy it the less likely u will , also some of the influencers would sell for anything ",No,,,,,,,,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Completely ,Distrust Completely ,Distrust Completely ,Never ,In the last month ,Their own retail shop,1,Trust Somewhat ,I don't know ,Tagline,36 53,Female,Munster,I OS
Yes,No,No,No,No,No,2,1-2 hours ,I think it’s a good platform to reach target audiences ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Every few months ,In the last 6 months ,Their website,7,Distrust Somewhat ,Yes ,Hashtag ,36 53,Female,Munster,I OS
Yes,Yes,Yes,No,Yes,No,1 ,1-2 hours ,Doing really mind as it's a oppertunity to see something you otherwise may have missed,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 18 months ,Their website,8,Neither Trust or Distrust ,I don't know ,Neither,36 53,Female,Connacht,Android
Yes,Yes,No,No,No,No,1 ,2-4 hours ,"It depends on how many ""influencers"" they get to promote the brand",Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Every few months ,In the last month ,Their website,7,Neither Trust or Distrust ,Yes ,Tagline,36 53,Female,Munster,Web
Yes,Yes,No,No,No,No,2,1-2 hours ,I’m often only aware of brands from seeing them on social media so I think it is a great way to advertise and make people aware of products ,No,,,,,,,,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Never ,In the last 6 months ,A department store,8,Trust Somewhat ,Yes ,Tagline,36 53,Female,Munster,I OS
Yes,Yes,No,No,No,No,1 ,4-6 hours ,I like them on social media it gives me an insight to what they are about ,No,,,,,,,,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Every few months ,In the last 6 months ,Their website,4,Trust Somewhat ,No ,Hashtag ,36 53,Female,Munster,Web
Yes,No,No,No,Yes,No,1 ,Less than 1 hour ,I think it's a good idea as they reach a lot more people,No,,,,,,,,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last 6 months ,Their website,7,Trust Somewhat ,Yes ,Tagline,36 53,Female,Ulster ROI Only,Web
Yes,Yes,No,No,No,No,1 ,1-2 hours ,"It’s a great way to see reviews, how they deal with customer service and to learn more about products on offer",Yes,Yes,No,No,No,No,Yes,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few weeks ,In the last month ,Their website,6,Trust Somewhat ,I don't know ,Tagline,36 53,Female,Leinster,Web
Yes,Yes,Yes,No,Yes,No,1 ,2-4 hours ,"It’s extremely important as it is an efficient way to connect and relate to the customer, keeping current ",Yes,Yes,Yes,Yes,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Every few weeks ,In the last 6 months ,Their Instagram page,10,Trust Somewhat ,No ,Hashtag ,36 53,Female,Dublin,Web
Yes,Yes,Yes,No,No,No,1 ,Less than 1 hour ,"I don’t mind, a good way to get information about them ",No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,I only ever buy from brands I'm familiar with,,5,Neither Trust or Distrust ,Yes ,Tagline,36 53,Female,Ulster ROI Only,I OS
