What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Gender,Age,Irish County,Device OS
Yes,Yes,No,No,Yes,No,1 ,Less than 1 hour ,Brands have to be in social media due to marketing purposes ,No,,,,,,,,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few weeks ,In the last 18 months ,Their website,6,Neither Trust or Distrust ,Yes ,Tagline,Male,23 35,Dublin,Web
Yes,Yes,Yes,Yes,No,No,More than 2 ,Less than 1 hour ,Smart marketing ,No,,,,,,,,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Completely ,Every few days ,In the last month ,Their website,9,Trust Completely ,Yes ,Tagline,Male,23 35,Leinster,Web
Yes,No,No,No,No,No,1 ,2-4 hours ,If it's on social media it's probably a good look,No,,,,,,,,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Never ,In the last month ,Other,7,Trust Somewhat ,Yes ,Tagline,Male,23 35,Dublin,Android
Yes,Yes,No,No,No,No,1 ,Less than 1 hour ,Good positive outreach ,No,,,,,,,,Trust Completely ,Trust Completely ,Neither Trust or Distrust ,Distrust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Completely ,Distrust Completely ,Distrust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few weeks ,In the past week ,Their own retail shop,8,Trust Somewhat ,Yes ,Tagline,Male,23 35,Dublin,Web
Yes,Yes,Yes,Yes,No,No,1 ,1-2 hours ,"Good. Nice to see options of what's out there
",Yes,Yes,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Daily ,In the last month ,Their Instagram page,6,Trust Somewhat ,Yes ,Tagline,Male,23 35,Connacht,Web
Yes,Yes,Yes,Yes,No,No,More than 2 ,2-4 hours ,It helps me get a better review for them in comments,Yes,Yes,Yes,No,Yes,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Every few days ,In the past week ,Their own retail shop,7,Trust Completely ,Yes ,Tagline,Male,23 35,Ulster ROI Only,I OS
Yes,Yes,Yes,Yes,Yes,No,1 ,Over 6 hours ,"Can be useful for seeing new products and offers, can also be overloaded with content",No,,,,,,,,Trust Completely ,Trust Somewhat ,Distrust Somewhat,Trust Completely ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Completely ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last month ,A department store,8,Trust Somewhat ,Yes ,Hashtag ,Male,23 35,Dublin,I OS
Yes,Yes,No,No,Yes,No,1 ,4-6 hours ,I think it's fair. Best way of publicity nowadays,Yes,Yes,Yes,No,No,No,Yes,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the past week ,Other,3,Distrust Somewhat ,Yes ,Tagline,Male,23 35,Munster,Web
No,No,No,No,No,Yes,I do not have social media ,Less than 1 hour ,Have no thoughts,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 18 months ,Their website,5,Trust Somewhat ,No ,Neither,Male,23 35,Munster,I OS
Yes,Yes,No,Yes,Yes,No,1 ,1-2 hours ,I don’t enjoy having ads which offer nothing to me in between catching up with friends. I scroll past them as quickly as possible. Although I do like to enter competitions which can be promote on social media.,No,,,,,,,,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Never ,In the last 6 months ,Their website,7,Distrust Somewhat ,Yes ,Tagline,Male,23 35,Leinster,I OS
