What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Age,Gender,Irish County,Device OS
Yes,Yes,Yes,Yes,Yes,No,1 ,Less than 1 hour ,Nothing,Yes,No,No,No,No,No,Yes,No,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few days ,In the past week ,Their website,8,Neither Trust or Distrust ,Yes ,Hashtag ,23 35,Female,Dublin,I OS
No,Yes,No,No,Yes,No,1 ,2-4 hours ,It’s the modern way. Best way to reach as many people as possible and so many people rely on social media for knowledge on different brands ,No,,,,,,,,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Never ,In the last 6 months ,Their website,9,Trust Somewhat ,Yes ,Tagline,23 35,Female,Leinster,Web
No,Yes,No,Yes,No,No,1 ,2-4 hours ,I think it’s a good way of advertising ,Yes,No,Yes,No,No,No,No,No,Neither Trust or Distrust ,Distrust Completely ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Completely ,Trust Somewhat ,Distrust Completely ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Completely ,Neither Trust or Distrust ,Trust Completely ,Distrust Somewhat,Every few days ,In the last month ,A department store,5,Neither Trust or Distrust ,Yes ,Neither,23 35,Female,Leinster,Web
No,Yes,No,Yes,No,No,1 ,2-4 hours ,Good,Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Distrust Completely ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Completely ,Neither Trust or Distrust ,Distrust Completely ,Never ,In the last 6 months ,Their website,7,Neither Trust or Distrust ,Yes ,Tagline,23 35,Female,Munster,I OS
Yes,Yes,Yes,Yes,No,No,1 ,2-4 hours ,That's where I see their advertisements now so I'm OK with it,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last month ,Their website,3,Trust Somewhat ,Yes ,Tagline,23 35,Female,Munster,Android
Yes,Yes,No,No,No,No,1 ,1-2 hours ,Good for advertising ,Yes,Yes,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Daily ,In the past week ,Their own retail shop,8,Trust Somewhat ,Yes ,Tagline,23 35,Female,Leinster,Web
No,Yes,Yes,Yes,No,No,1 ,4-6 hours ,It’s a good way of advertising but I dislike how much free stuff brands send to influencers ,Yes,No,No,Yes,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the past week ,Their website,7,Trust Somewhat ,Yes ,Tagline,23 35,Female,Leinster,Web
Yes,Yes,Yes,No,Yes,No,1 ,1-2 hours ,I think it’s a good idea. It’s the first place I’d go to get any info on a brand,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Every few days ,In the last month ,Their website,9,Trust Somewhat ,Yes ,Tagline,23 35,Female,Munster,Web
Yes,Yes,No,Yes,No,No,2,2-4 hours ,I think it’s a great way for them to reach a broader younger audience ,No,,,,,,,,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Distrust Completely ,Every few weeks ,In the last month ,Their own retail shop,7,Trust Somewhat ,Yes ,Tagline,23 35,Female,Munster,Web
Yes,Yes,Yes,Yes,Yes,No,1 ,4-6 hours ,It can be beneficial to them to help them generate more sales but they need to be conscious about the content they are putting out ,Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 6 months ,Their own retail shop,2,Distrust Somewhat ,No ,Tagline,23 35,Female,Leinster,I OS
