What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Gender,Irish County,Device OS,Age
No,Yes,Yes,No,No,No,1 ,1-2 hours ,"Can be informative, mostly intrusive",Yes,No,No,No,No,No,Yes,No,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Completely ,Every few months ,In the last 6 months ,Their own retail shop,2,Neither Trust or Distrust ,Yes ,Tagline,Male,Ulster ROI Only,Android,36 53
Yes,No,No,No,Yes,No,2,1-2 hours ,"They are right to do so, but at times they are appearing to often",Yes,Yes,No,No,No,No,No,No,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Never ,In the last 6 months ,Their own retail shop,3,Distrust Somewhat ,No ,Neither,Male,Connacht,Web,56 65
Yes,Yes,Yes,No,No,No,1 ,2-4 hours ,Yes I’m all for it I like to see different options ,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few months ,In the last month ,Their Instagram page,6,Trust Somewhat ,Yes ,Tagline,Female,Leinster,Web,36 53
No,Yes,No,No,Yes,No,1 ,2-4 hours ,It’s the modern way. Best way to reach as many people as possible and so many people rely on social media for knowledge on different brands ,No,,,,,,,,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Never ,In the last 6 months ,Their website,9,Trust Somewhat ,Yes ,Tagline,Female,Leinster,Web,23 35
Yes,No,Yes,No,Yes,No,1 ,Less than 1 hour ,Not great,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 6 months ,Other,5,Trust Somewhat ,Yes ,Tagline,Male,Munster,Web,36 53
No,Yes,No,Yes,No,No,1 ,1-2 hours ,Good marketing,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Completely ,Distrust Completely ,Every few months ,In the last month ,Their website,4,Trust Somewhat ,No ,Neither,Male,Connacht,Android,18 22
Yes,No,No,No,No,No,1 ,Less than 1 hour ,I don’t pay much attention to brands on social media,No,,,,,,,,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last 6 months ,Other,6,Trust Somewhat ,No ,Neither,Male,Dublin,Web,36 53
Yes,Yes,Yes,No,Yes,No,More than 2 ,1-2 hours ,I don’t take any notice. Usually just skip over them - no influence on my purchasing decisions,No,,,,,,,,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last 6 months ,Their website,8,Distrust Somewhat ,Yes ,Tagline,Male,Munster,I OS,36 53
Yes,Yes,Yes,No,No,No,1 ,2-4 hours ,"It gives you an awareness of the brand , makes you go yo their website or online shop that sells it, & check the stockists for when you go shopping in town ",No,,,,,,,,Trust Completely ,Neither Trust or Distrust ,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Completely ,Neither Trust or Distrust ,Every few months ,In the last month ,Their website,3,Neither Trust or Distrust ,Yes ,Tagline,Female,Connacht,Android,36 53
No,Yes,No,Yes,No,No,1 ,1-2 hours ,It can helpful to reach out to customers,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few months ,In the last month ,Their own retail shop,8,Trust Somewhat ,Yes ,Tagline,Male,Leinster,Android,23 35
Yes,Yes,Yes,Yes,Yes,No,2,1-2 hours ,Love it especially when accounts are funny or relatable ,No,,,,,,,,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few days ,In the last month ,A department store,8,Trust Completely ,Yes ,Tagline,Female,Munster,Web,18 22
